free  energy   TOTEN,energy  without entropy,energy(sigma->0),kin. lattice  EKIN_LAT,nose potential ES,nose kinetic   EPS,total energy   ETOTAL,(temperature
-920.0806465,-920.12128357,-920.09419219,0.0,-5.231867,0.15729,-917.014799,588.57
-920.05684092,-920.09935512,-920.07101232,0.0,-5.382406,0.128775,-917.014933,599.78
-920.02548007,-920.06975569,-920.04023861,0.0,-5.517074,0.100456,-917.01507,609.29
-919.98590548,-920.03175484,-920.0011886,0.0,-5.63436,0.073782,-917.015234,616.83
-919.93753417,-919.98471006,-919.95325947,0.0,-5.733068,0.050051,-917.015255,622.18
-919.88020273,-919.92841358,-919.89627301,0.0,-5.81235,0.030324,-917.015308,625.19
-919.81366991,-919.86259592,-919.82997858,0.0,-5.871726,0.015334,-917.015248,625.76
-919.73805686,-919.78737009,-919.7544946,0.0,-5.911107,0.005445,-917.015204,623.86
-919.65353001,-919.70291633,-919.66999212,0.0,-5.930794,0.000625,-917.015113,619.52
-919.56069173,-919.60987085,-919.57708477,0.0,-5.931474,0.000466,-917.014977,612.88
-919.46041828,-919.50916031,-919.47666562,0.0,-5.914203,0.004236,-917.014792,604.12
-919.35348757,-919.40162286,-919.36953267,0.0,-5.880369,0.010962,-917.014526,593.48
-919.24099012,-919.28841315,-919.2567978,0.0,-5.831664,0.019522,-917.014386,581.22
-919.12379838,-919.17046288,-919.13935321,0.0,-5.770033,0.028751,-917.014151,567.64
-919.00317519,-919.04896355,-919.01843797,0.0,-5.697633,0.037544,-917.013819,553.07
-918.88036884,-918.92555718,-918.89543162,0.0,-5.616776,0.044944,-917.013559,537.83
-918.75641336,-918.800936,-918.77125424,0.0,-5.529883,0.050202,-917.013359,522.22
-918.63266989,-918.6765692,-918.64730299,0.0,-5.439431,0.052833,-917.013216,506.55
-918.51025288,-918.553559,-918.52468825,0.0,-5.34791,0.052637,-917.013088,491.11
-918.39019633,-918.43292152,-918.40443806,0.0,-5.257771,0.049692,-917.012983,476.13
-918.27356309,-918.31568293,-918.28760303,0.0,-5.171393,0.044333,-917.012922,461.84
-918.16133199,-918.20273306,-918.17513235,0.0,-5.091045,0.037117,-917.012854,448.45
-918.05425261,-918.09497075,-918.06782533,0.0,-5.018854,0.02877,-917.012767,436.09
-917.95290217,-917.99269196,-917.96616543,0.0,-4.956783,0.020128,-917.012676,424.91
-917.85811663,-917.8969654,-917.87106622,0.0,-4.906608,0.012082,-917.012677,415.01
-917.77036252,-917.80813142,-917.78295215,0.0,-4.869901,0.005518,-917.012656,406.49
-917.69000114,-917.72655273,-917.702185,0.0,-4.848017,0.001263,-917.012614,399.41
-917.61750958,-917.65276208,-917.62926041,0.0,-4.84208,3.3e-05,-917.012544,393.83
-917.5531714,-917.58704759,-917.56446346,0.0,-4.852976,0.002395,-917.012412,389.8
-917.49706176,-917.52953438,-917.50788596,0.0,-4.881344,0.008728,-917.012291,387.35
-917.44912315,-917.48021508,-917.45948713,0.0,-4.927574,0.019203,-917.012142,386.48
-917.40926383,-917.43904972,-917.41919246,0.0,-4.991804,0.033766,-917.011953,387.2
-917.37729373,-917.40588213,-917.38682319,0.0,-5.073921,0.052134,-917.011721,389.52
-917.3530706,-917.38061434,-917.36225184,0.0,-5.173554,0.073801,-917.01149,393.42
-917.33631228,-917.36300147,-917.34520868,0.0,-5.290086,0.098048,-917.011314,398.89
-917.32634742,-917.35240027,-917.3350317,0.0,-5.422645,0.123972,-917.011056,405.9
-917.32277676,-917.3484259,-917.33132647,0.0,-5.570119,0.150522,-917.010831,414.4
-917.32485896,-917.35033717,-917.3333517,0.0,-5.731156,0.176538,-917.010541,424.33
-917.33194774,-917.35746979,-917.34045509,0.0,-5.90418,0.200811,-917.01029,435.62
-917.34329382,-917.36903697,-917.35187487,0.0,-6.087396,0.222139,-917.010055,448.16
-917.35803026,-917.38411606,-917.36672553,0.0,-6.278813,0.239388,-917.009852,461.84
-917.37516618,-917.40164628,-917.38399288,0.0,-6.476259,0.251573,-917.009627,476.49
-917.39372605,-917.42059533,-917.40268248,0.0,-6.677407,0.257911,-917.009496,491.92
-917.41266146,-917.43981569,-917.42171287,0.0,-6.879804,0.257905,-917.009485,507.93
-917.43101639,-917.45827842,-917.44010373,0.0,-7.08091,0.25137,-917.009526,524.26
-917.447829,-917.47497718,-917.45687839,0.0,-7.27813,0.238477,-917.009619,540.66
-917.46188455,-917.48869103,-917.47082004,0.0,-7.468859,0.219769,-917.009698,556.82
-917.47219579,-917.49847775,-917.48095644,0.0,-7.650533,0.196158,-917.009799,572.4
-917.47804566,-917.50370725,-917.48659953,0.0,-7.820677,0.168869,-917.009928,587.09
-917.47866114,-917.50373173,-917.48701801,0.0,-7.976959,0.139379,-917.010103,600.55
-917.47317281,-917.49777538,-917.48137367,0.0,-8.117242,0.109327,-917.010314,612.45
-917.46078651,-917.48508978,-917.4688876,0.0,-8.239635,0.080407,-917.010457,622.49
